,지역,지역구,카페명,주소,위도,경도,파일명
92,도심,종로,식물,서울 종로구 돈화문로11다길 46-1,37.573727500000004,126.98963290000002,cs_jr_02.png
93,도심,종로,빌즈,서울 종로구 종로3길 17,37.5717005,126.9797154,cs_jr_03.png
94,도심,종로,서울커피 익선점,서울 종로구 수표로28길 33-3,37.573251899999995,126.9900717,cs_jr_04.png
95,도심,종로,스펙터,서울 종로구 필운대로6길 23-1,37.58023970000001,126.96966299999998,cs_jr_05.png
96,도심,종로,커피방앗간,서울 종로구 북촌로5가길 8-11,37.5802805,126.9824672,cs_jr_06.png
97,도심,종로,서울커피상회,서울 종로구 자하문로7길 67-2,37.58015,126.96888419999999,cs_jr_07.png
98,도심,종로,프릳츠 원서점,서울 종로구 율곡로 83,37.5775971,126.98843259999998,cs_jr_08.png
99,도심,종로,제프리카벤디쉬런던,서울 종로구 대학로8가길 129,37.5802717,127.00351189999999,cs_jr_09.png
100,도심,종로,TXT Coffee,서울 종로구 창덕궁길 121,37.5828255,126.9890299,cs_jr_10.png
101,도심,종로,도밍고팩토리,서울 종로구 성균관로 15,37.5891352,126.996627,cs_jr_11.png
102,도심,종로,홍콩샤워,서울 종로구 창경궁로29길 36,37.584146200000006,126.9973452,cs_jr_12.png
103,도심,종로,블루룸,서울 종로구 대명1길 16-7,37.5828312,127.0002759,cs_jr_13.png
104,도심,중구,포엠,서울 중구 명동4길 13,37.5630844,126.9837459,cs_jg_01.png
105,도심,중구,현상소,서울 중구 만리재로37길 24,37.5567475,126.9671412,cs_jg_02.png
106,도심,중구,분카샤,서울 중구 을지로14길 20,37.5653338,126.99199650000001,cs_jg_03.png
107,도심,중구,호텔수선화,서울 중구 충무로7길 17,37.5656561,126.99164809999999,cs_jg_04.png
108,도심,중구,비단콤마,서울 중구 소월로 31-1,37.556742,126.9766496,cs_jg_05.png
109,도심,중구,마뫼,서울 중구 소파로 41,37.555137200000004,126.98134009999998,cs_jg_06.png
110,도심,중구,토스마이슈,서울 중구 세종대로18길 20-1,37.5636239,126.9782895,cs_jg_07.png
111,도심,중구,4F,서울 중구 을지로35길 26-1,37.5678416,127.0013445,cs_jg_08.png
112,도심,중구,투피스,서울 중구 을지로 230-1,37.5665133,127.00367709999999,cs_jg_09.png
113,도심,중구,카페 피크닉,서울 중구 퇴계로6가길 30,37.5569375,126.97810919999999,cs_jg_10.png
114,도심,중구,심세정,서울 중구 퇴계로 409-11,37.566018799999995,127.01702140000002,cs_jg_11.png
115,도심,중구,아포테케리,서울특별시 중구 퇴계로 409-9,37.5659926,127.0169086,cs_jg_12.png
116,도심,중구,리사르커피,서울 중구 다산로8길 16-7,37.5524436,127.0104206,cs_jg_13.png
117,도심,용산,라페름,서울 용산구 이태원로54길 32,37.536976,127.00171110000001,cs_ys_01.png
118,도심,용산,아베크엘,서울 용산구 두텁바위로69길 29,37.5504891,126.98064850000002,cs_ys_02.png
119,도심,용산,원인어밀리언,서울 용산구 이태원로54길 31,37.5368755,127.0018731,cs_ys_03.png
120,도심,용산,언더프레셔,서울 용산구 한남대로20길 51,37.534898999999996,127.00972920000001,cs_ys_04.png
121,도심,용산,챔프커피 제2작업실,서울 용산구 녹사평대로26가길 24,37.5324573,126.99280120000002,cs_ys_05.png
122,도심,용산,때가이르매,서울 용산구 두텁바위로 8,37.545047600000004,126.9730378,cs_ys_06.png
123,도심,용산,브랑쿠시,서울 용산구 새창로 104,37.5380141,126.9597642,cs_ys_07.png
124,도심,용산,두화당,서울 용산구 백범로87길 25,37.5386701,126.9682902,cs_ys_08.png
125,도심,용산,모어댄레스,서울 용산구 이태원로49길 24,37.537442999999996,126.99929579999998,cs_ys_09.png
126,도심,용산,수르기,서울 용산구 이태원로42길 32,37.5359926,127.00039469999999,cs_ys_10.png
127,도심,용산,앤드커피랩,서울 용산구 이태원로54길 74,37.53519910000001,127.00095970000001,cs_ys_11.png
128,도심,용산,이로공작,서울 용산구 소월로26길 14,37.5453174,126.9870595,cs_ys_12.png
129,도심,용산,오랑오랑,서울 용산구 소월로20길 26-14,37.5450619,126.9850113,cs_ys_13.png
