,지역,지역구,카페명,주소,위도,경도,파일명,1번 색,2번 색,3번 색,4번 색,5번 색
25,서서울,마포,블랑드티,서울 마포구 양화로 61,37.5507622,126.9150317,ws_mp_13.png,8c7b6d,d7d8d7,b2a599,645547,332b2c
26,서서울,서대문,카페 카페,서울 서대문구 연세로12길 19,37.5590079,126.9381633,ws_sdm_01.png,754c27,bfaca4,a58264,2f2616,d9ccd1
27,서서울,서대문,호밀밭,서울 서대문구 신촌역로 43,37.55891210000001,126.9406332,ws_sdm_02.png,301d19,633c29,896957,b89880,ddcbbd
28,서서울,서대문,매뉴팩트커피,서울 서대문구 연희로11길 29,37.56775800000001,126.9295981,ws_sdm_03.png,b5b2ab,21272e,5f514e,94877d,dfdfdc
29,서서울,서대문,어반앨리스,서울 서대문구 이화여대1길 10,37.5576095,126.94490159999998,ws_sdm_04.png,cfbfa7,ad997d,927f65,716049,312f1d
30,서서울,서대문,waffle it up,서울 서대문구 이화여대3길 42-19,37.5582078,126.9432894,ws_sdm_05.png,1f150d,4a331d,8b5312,b39453,e4deb0
31,서서울,서대문,카페페라,서울 서대문구 이화여대8길 2,37.558617,126.9459253,ws_sdm_06.png,27211e,57493c,817166,e6d6c8,b3a194
32,서서울,서대문,보일링팟,서울 서대문구 연세로 42-22,37.55920820000001,126.9382884,ws_sdm_07.png,e6e3e0,cec9c6,1a1b19,a39994,5f5a58
33,서서울,서대문,마호가니,서울 서대문구 연희맛로 45,37.5688266,126.9311834,ws_sdm_08.png,363230,897d70,5f5750,a9a095,e0dfdf
34,서서울,서대문,독수리다방,서울 서대문구 연세로 36,37.5587229,126.9372291,ws_sdm_09.png,261d11,89785e,57452c,b4a488,e2e0ca
35,서서울,서대문,하이드미플리즈,서울 서대문구 통일로39나길 5,37.5884239,126.9430865,ws_sdm_10.png,e3e2e1,928e8b,78695a,b9b8bb,493b2c
36,서서울,서대문,마이디어스윗,서울 서대문구 세검정로 52-10,37.5919658,126.94650590000002,ws_sdm_11.png,dc9889,463322,f3ede3,bc624f,857b70
37,서서울,서대문,로열티하우스,서울 서대문구 충정로 71-5,37.5651589,126.9654212,ws_sdm_12.png,170d06,5c371b,c09363,916035,e9c598
38,서서울,서대문,팝컨테이너,서울 서대문구 명물길 70,37.5588248,126.9400516,ws_sdm_13.png,2f1e29,d6270d,fb8630,d7cabc,8f837e
39,서남,강서,고양이똥,서울 강서구 공항대로59가길 13,37.55200470000001,126.8646271,sw_gs_01.png,1d140c,423121,7d6449,d2e5e7,ddb25a
40,서남,강서,고양이정원,서울 강서구 개화동로19길 18,37.5756508,126.8031032,sw_gs_02.png,c3bfbb,baa385,917a57,c8891b,4c3e13
41,서남,강서,헤븐온탑 김포공항점,서울 강서구 하늘길 38,37.5667733,126.8025118,sw_gs_03.png,3e5047,5c766e,aa9b85,dfcbb3,202417
42,서남,강서,WE Ccafe,서울 강서구 강서로47길 169,37.5534108,126.8267049,sw_gs_04.png,a49991,726560,ddd7d3,c3bbb4,3c312e
43,서남,강서,아임멍,서울 강서구 마곡서로 158,37.568023,126.825098,sw_gs_05.png,2a1e1c,caa993,60483d,9a7b6a,ebd4c4
44,서남,강서,카페숨,서울 강서구 공항대로39길 7,37.5585779,126.8433001,sw_gs_06.png,262116,e4dcc2,6d5434,c9b376,c78637
45,서남,강서,하롱하롱,서울 강서구 마곡서로 152,37.5675429,126.8259872,sw_gs_07.png,867260,b19f90,60493b,d3c9c1,200c07
46,서남,강서,뚜스뚜스,서울 강서구 화곡로 408,37.5595764,126.8547716,sw_gs_08.png,272921,575247,81745f,ae9c82,eee8d4
47,서남,강서,요로콘데,서울 강서구 마곡중앙로 161-1,37.5678801,126.8265667,sw_gs_09.png,8c7b6d,a9a29f,685544,332d29,dfd9d4
48,서남,강서,브루드서울,서울 강서구 마곡중앙로 161-11,37.5678801,126.8265667,sw_gs_10.png,27090a,997461,654035,c8af96,e4e7e2
49,서남,강서,793 플라워팩토리,서울 강서구 마곡중앙8로 90,37.5608125,126.8376875,sw_gs_11.png,2f2214,805527,bfa569,d8e5da,336b80
50,서남,강서,카페소금다방,서울 강서구 공항대로61길 42,37.5526855,126.8663732,sw_gs_12.png,634733,3c2d1f,845f44,9c8f7e,ede8d4
