상호명,편의점,지역,시군구코드,경도,위도
CU,CU,서울특별시 성동구,11200,127.0569696,37.53680725
CU,CU,부산광역시 부산진구,26230,129.0619033,35.16185493
CU,CU,서울특별시 강북구,11305,127.01061399999999,37.64439061
수다CUP&TEA,CU,서울특별시 마포구,11440,126.91720959999999,37.55764789
CU서초중앙로점,CU,서울특별시 서초구,11650,127.01713980000001,37.48681646
CU,CU,서울특별시 강동구,11740,127.1353463,37.53613665
에프엠CUSTOM,CU,부산광역시 기장군,26710,129.2058472,35.20131285
CU,CU,서울특별시 관악구,11620,126.9364169,37.46755566
CU,CU,서울특별시 서대문구,11410,126.9429168,37.56380069
CU,CU,서울특별시 강남구,11680,127.03045290000001,37.49962234
CU,CU,서울특별시 성북구,11290,127.0263415,37.58709834
CU,CU,서울특별시 서대문구,11410,126.927627,37.56205894
CU,CU,서울특별시 용산구,11170,126.9665554,37.55284607
CU,CU,서울특별시 노원구,11350,127.06,37.64770479
CU,CU,서울특별시 종로구,11110,126.98745890000002,37.58377974
CU,CU,서울특별시 성동구,11200,127.02011040000001,37.55367211
CU,CU,서울특별시 성동구,11200,127.06197009999998,37.54770474
CU,CU,서울특별시 동작구,11590,126.95169270000001,37.51424946
CU,CU,부산광역시 금정구,26410,129.10410579999999,35.21449702
CU,CU,서울특별시 종로구,11110,126.9795094,37.61206691
CU,CU,서울특별시 서초구,11650,126.9914312,37.4923395
CU,CU,부산광역시 사하구,26380,128.9910934,35.08568236
CU,CU,서울특별시 강남구,11680,127.0291847,37.49973807
ACCUDIGM,CU,서울특별시 종로구,11110,126.9971841,37.58044782
CU,CU,부산광역시 남구,26290,129.1096933,35.13268132
도쿄CUISINE,CU,서울특별시 성동구,11200,127.01566319999999,37.542435100000006
CU,CU,서울특별시 중랑구,11260,127.08309950000002,37.579038
CU오금역점,CU,서울특별시 송파구,11710,127.1268232,37.50142823
CU방배이수역점,CU,서울특별시 서초구,11650,126.9835252,37.48744209
CU,CU,부산광역시 북구,26320,129.0130858,35.23570028
CU,CU,서울특별시 광진구,11215,127.08832959999998,37.54748771
CU,CU,서울특별시 서초구,11650,127.0425781,37.47381582
CU,CU,서울특별시 영등포구,11560,126.9056768,37.52510412
CU,CU,서울특별시 강남구,11680,127.0343467,37.48530942
CU,CU,서울특별시 영등포구,11560,126.91317450000001,37.51828939
CU성내제일점,CU,서울특별시 강동구,11740,127.13139140000001,37.5288451
CU,CU,서울특별시 강남구,11680,127.05346670000002,37.48805919
CU,CU,서울특별시 서대문구,11410,126.9066324,37.57974292
CU,CU,부산광역시 기장군,26710,129.24514240000002,35.30716728
CU,CU,서울특별시 중랑구,11260,127.0886311,37.59334439
CU,CU,부산광역시 연제구,26470,129.0793408,35.18647097
CU,CU,서울특별시 서대문구,11410,126.94669569999999,37.59847933
CU,CU,서울특별시 서초구,11650,127.0028618,37.49760858
CU낙성대입구,CU,서울특별시 관악구,11620,126.95961129999999,37.47752958
CU,CU,부산광역시 연제구,26470,129.1009788,35.18544692
CU,CU,서울특별시 서초구,11650,127.0124412,37.4812538
CU,CU,부산광역시 강서구,26440,128.9309176,35.10850527
CU,CU,부산광역시 연제구,26470,129.08871299999998,35.18696396
CU,CU,서울특별시 강남구,11680,127.03725370000001,37.527502500000004
CU,CU,서울특별시 동대문구,11230,127.0636874,37.60489875
서울대학교CU301동점,CU,서울특별시 관악구,11620,126.9592795,37.46802955
CU,CU,부산광역시 동래구,26260,129.07584540000002,35.21366078
CU괘법한신점,CU,부산광역시 사상구,26530,128.9809817,35.16796363
CU,CU,부산광역시 해운대구,26350,129.1432714,35.15484075
CU,CU,서울특별시 성북구,11290,127.0209288,37.60268661
CU,CU,서울특별시 종로구,11110,126.9817864,37.58710984
CU,CU,부산광역시 북구,26320,129.01169869999998,35.23547753
CU,CU,부산광역시 해운대구,26350,129.1769862,35.16846225
CU,CU,서울특별시 노원구,11350,127.0670596,37.61872039
씨유광진선화저,CU,서울특별시 광진구,11215,127.08874209999999,37.55078874
CU,CU,부산광역시 사상구,26530,128.9789394,35.16242753
CU영등포자매점,CU,서울특별시 영등포구,11560,126.9047955,37.52502387
CU동소문중앙점,CU,서울특별시 성북구,11290,127.0144274,37.59673970000001
CU,CU,서울특별시 영등포구,11560,126.8882006,37.5272025
CU목동하이베라스점,CU,서울특별시 양천구,11470,126.8826229,37.54162055
CU한신IT,CU,서울특별시 구로구,11530,126.8944152,37.48248796
CU,CU,서울특별시 종로구,11110,126.9617814,37.60162246
CU,CU,서울특별시 성북구,11290,127.0201674,37.59511156
CU행당두산점,CU,서울특별시 성동구,11200,127.0304051,37.55750545
CU,CU,서울특별시 마포구,11440,126.91540659999998,37.55007162
CU삼성대웅,CU,서울특별시 강남구,11680,127.06434009999998,37.51471799
CU연희서연점,CU,서울특별시 서대문구,11410,126.9283727,37.56926501
CU흑석로점,CU,서울특별시 동작구,11590,126.9611624,37.50840423
CU,CU,부산광역시 부산진구,26230,129.065821,35.16094618
씨유신도봉,CU,서울특별시 도봉구,11320,127.04363000000001,37.67295529
CU,CU,부산광역시 사상구,26530,128.9791632,35.15728775
CU,CU,서울특별시 동대문구,11230,127.0704622,37.56920786
CU,CU,서울특별시 강서구,11500,126.85030379999999,37.53066005
CU,CU,서울특별시 서초구,11650,127.01589140000002,37.48802249
CU,CU,서울특별시 종로구,11110,127.0025088,37.58272752
CU,CU,서울특별시 광진구,11215,127.0887034,37.55954666
CU동의의료원점,CU,부산광역시 부산진구,26230,129.07725109999998,35.17205836
CU,CU,서울특별시 용산구,11170,127.0079182,37.53426086
CU,CU,서울특별시 성북구,11290,127.0085969,37.61113451
CU,CU,부산광역시 동래구,26260,129.07669479999998,35.20395435
CU신당백석점,CU,서울특별시 중구,11140,127.00916720000001,37.554454799999995
CU,CU,부산광역시 사하구,26380,128.99099669999998,35.0967254
CU,CU,부산광역시 북구,26320,128.996893,35.20615199
CU,CU,부산광역시 기장군,26710,129.1654835,35.33514621
CU,CU,서울특별시 도봉구,11320,127.0496176,37.64610787
CU,CU,서울특별시 도봉구,11320,127.0463595,37.66163341
CU,CU,부산광역시 연제구,26470,129.0720148,35.19630706
CU,CU,서울특별시 구로구,11530,126.8195067,37.491179100000004
CU,CU,부산광역시 사하구,26380,128.9622911,35.11233467
CU,CU,서울특별시 용산구,11170,126.99999469999999,37.52857149
CU,CU,서울특별시 강동구,11740,127.14100459999999,37.54790969
CU,CU,서울특별시 성북구,11290,127.0317018,37.58848499
CU,CU,서울특별시 구로구,11530,126.88512,37.49320415
CU,CU,서울특별시 구로구,11530,126.90156780000001,37.48357286
CU,CU,서울특별시 중구,11140,127.01349569999999,37.56779947
CU,CU,서울특별시 양천구,11470,126.82743,37.53551697
CU,CU,서울특별시 서초구,11650,127.0088524,37.49015321
BARCU,CU,서울특별시 강북구,11305,127.0214334,37.64455293
씨유광진능동점,CU,서울특별시 광진구,11215,127.07702579999999,37.55194119
CU,CU,서울특별시 성북구,11290,127.0297306,37.59815499
CU,CU,서울특별시 중구,11140,127.0123304,37.55575177
씨유아이앤티,CU,서울특별시 구로구,11530,126.8926642,37.48084968
CU,CU,서울특별시 영등포구,11560,126.88305249999999,37.52571226
CU,CU,서울특별시 서대문구,11410,126.94781029999999,37.55871748
CU,CU,부산광역시 연제구,26470,129.0801833,35.19040251
CU,CU,부산광역시 금정구,26410,129.088879,35.25860414
CU신정푸른점,CU,서울특별시 성북구,11290,127.00703940000001,37.60731003
CU한강잠실2호점,CU,서울특별시 송파구,11710,127.07649029999999,37.51920175
CU,CU,서울특별시 관악구,11620,126.94764040000001,37.46689025
CU,CU,부산광역시 강서구,26440,128.8735602,35.08705474
CU서울대우신점,CU,서울특별시 관악구,11620,126.95395719999999,37.48003865
CU,CU,서울특별시 성북구,11290,127.01986770000002,37.59464954
CU,CU,서울특별시 동작구,11590,126.9682588,37.4916348
CU삼성럭키점,CU,서울특별시 강남구,11680,127.04522140000002,37.51307825
CU명지원룸점,CU,부산광역시 강서구,26440,128.91058429999998,35.08517785
CU,CU,서울특별시 영등포구,11560,126.8981757,37.49666051
CU마포연남점,CU,서울특별시 마포구,11440,126.92493130000001,37.56533223
CU남부터미널역점,CU,서울특별시 서초구,11650,127.0147447,37.48493132
CU,CU,부산광역시 강서구,26440,128.87778889999998,35.11222783
CU,CU,서울특별시 동대문구,11230,127.0324636,37.57774179
CU,CU,부산광역시 수영구,26500,129.1128782,35.16835609
씨유쓰,CU,서울특별시 영등포구,11560,126.9076467,37.52500523
CU노량진삼익점,CU,서울특별시 동작구,11590,126.9454807,37.51036471
CU괴정벽산점,CU,부산광역시 사하구,26380,129.0034503,35.1007424
CU북아현추계점,CU,서울특별시 서대문구,11410,126.95638840000001,37.560424499999996
CU,CU,서울특별시 구로구,11530,126.877146,37.50614871
CU,CU,부산광역시 남구,26290,129.1078996,35.13472586
CU신호점,CU,부산광역시 강서구,26440,128.8817685,35.08550799
CU,CU,부산광역시 영도구,26200,129.040788,35.08621249
CU,CU,서울특별시 영등포구,11560,126.9311906,37.52255356
CU,CU,서울특별시 관악구,11620,126.9367057,37.4663148
씨유,CU,서울특별시 관악구,11620,126.92584009999999,37.49015745
cu편의점,CU,서울특별시 노원구,11350,127.07677109999999,37.63306923
CU,CU,서울특별시 강북구,11305,127.0286894,37.62075348
CU,CU,부산광역시 남구,26290,129.1116977,35.11465314
CU,CU,부산광역시 사상구,26530,128.9814959,35.17330475
CU,CU,서울특별시 마포구,11440,126.9227848,37.54853532
CU도봉오봉점,CU,서울특별시 도봉구,11320,127.040821,37.6710223
씨유메디코스,CU,서울특별시 노원구,11350,127.0549331,37.67911034
CU,CU,부산광역시 사하구,26380,128.9777437,35.090883700000006
CU,CU,부산광역시 해운대구,26350,129.122676,35.18397678
CU,CU,서울특별시 강남구,11680,127.0517125,37.50248907
CU,CU,부산광역시 해운대구,26350,129.1172501,35.20066646
CU구로파트너점,CU,서울특별시 구로구,11530,126.89856940000001,37.48294124
CU신림행운점,CU,서울특별시 관악구,11620,126.9237304,37.48272261
CU,CU,서울특별시 동작구,11590,126.9533395,37.50486613
CU,CU,서울특별시 동대문구,11230,127.05172720000002,37.58084453
CU,CU,서울특별시 영등포구,11560,126.90180330000001,37.54237716
CU,CU,서울특별시 노원구,11350,127.05337279999999,37.67521438
CU,CU,부산광역시 사상구,26530,128.9838141,35.16616491
CU,CU,서울특별시 서초구,11650,126.99996399999999,37.49950333
CU,CU,서울특별시 종로구,11110,126.99993529999999,37.57113637
CU관악신사로점,CU,서울특별시 관악구,11620,126.91689070000001,37.48892239
CU,CU,서울특별시 구로구,11530,126.8818399,37.49931827
CU,CU,부산광역시 기장군,26710,129.1386221,35.35551148
CU관악프렌즈점,CU,서울특별시 관악구,11620,126.95244299999999,37.48645874
CU공덕삼성점,CU,서울특별시 마포구,11440,126.9556403,37.54265835
CU,CU,서울특별시 성북구,11290,127.0487142,37.61386149
CU,CU,서울특별시 서초구,11650,126.99590249999999,37.4886292
CU,CU,서울특별시 관악구,11620,126.90161640000001,37.48257315
CU,CU,서울특별시 용산구,11170,126.95211259999999,37.53275166
CU고척리가점,CU,서울특별시 구로구,11530,126.8626117,37.50692871
CU,CU,서울특별시 강남구,11680,127.0525778,37.5252927
CU,CU,서울특별시 강남구,11680,127.04462029999999,37.50432414
CU강동천호대로점,CU,서울특별시 강동구,11740,127.1267457,37.53719968
CU,CU,부산광역시 해운대구,26350,129.1864425,35.1665402
CU성신로데오점,CU,서울특별시 성북구,11290,127.01781489999999,37.59145181
cu,CU,서울특별시 동대문구,11230,127.03673529999999,37.58976961
CU,CU,서울특별시 광진구,11215,127.0913162,37.55037608
CU,CU,서울특별시 강서구,11500,126.8657356,37.55534449
CU,CU,서울특별시 강남구,11680,127.05066140000001,37.488135799999995
씨유명일스타힐스,CU,서울특별시 광진구,11215,127.0894057,37.54182839
CU우이중앙점,CU,서울특별시 강북구,11305,127.0129875,37.65854767
씨유서초오피스,CU,서울특별시 서초구,11650,127.02017849999999,37.48357987
CU논현학동점,CU,서울특별시 강남구,11680,127.02878,37.51439489
CU관악장원점,CU,서울특별시 관악구,11620,126.9378844,37.46929888
CU,CU,서울특별시 마포구,11440,126.91569369999999,37.55212863
CU도선홍익점,CU,서울특별시 성동구,11200,127.0328128,37.56475159
CU,CU,부산광역시 사하구,26380,128.9777288,35.07952605
CU,CU,서울특별시 서초구,11650,127.0242619,37.45823984
씨유상도삼성,CU,서울특별시 동작구,11590,126.93314620000001,37.50518105
CU,CU,부산광역시 동구,26170,129.059073,35.14080513
씨유편의점고객센타,CU,서울특별시 광진구,11215,127.07908290000002,37.55584078
CU,CU,서울특별시 성동구,11200,127.06767450000001,37.55128204
CU,CU,서울특별시 서대문구,11410,126.95845659999999,37.56877739
CU,CU,서울특별시 은평구,11380,126.91358590000002,37.59206118
CU,CU,서울특별시 종로구,11110,126.988322,37.58358891
CU,CU,서울특별시 금천구,11545,126.8829102,37.47605439
씨유우이장학관,CU,서울특별시 강북구,11305,127.0122943,37.66296592
CU,CU,서울특별시 종로구,11110,126.9721645,37.576232
CU,CU,서울특별시 강동구,11740,127.1234202,37.52937189
CU,CU,부산광역시 부산진구,26230,129.0216375,35.15360187
CU,CU,서울특별시 성동구,11200,127.0544716,37.54466246
CU광진능동로점,CU,서울특별시 광진구,11215,127.07175649999999,37.54700718
CU,CU,서울특별시 중구,11140,127.01173329999999,37.55725152
CU,CU,서울특별시 관악구,11620,126.92734140000002,37.49113521
CU,CU,서울특별시 중랑구,11260,127.0763068,37.60008751
CU,CU,서울특별시 동대문구,11230,127.05065559999998,37.59300901
CU,CU,서울특별시 노원구,11350,127.05790149999999,37.65324743
CUSK오천주유소점,CU,서울특별시 강남구,11680,127.0537791,37.51348951
CU,CU,부산광역시 부산진구,26230,129.03435530000002,35.15252947
CU,CU,서울특별시 강남구,11680,127.0462939,37.49279514
CU마트,CU,서울특별시 중구,11140,127.01585390000001,37.56665681
CU,CU,부산광역시 수영구,26500,129.1067435,35.14010871
CU,CU,서울특별시 용산구,11170,126.97305,37.54224339
CU,CU,서울특별시 구로구,11530,126.8883123,37.50137067
CU신촌대현점,CU,서울특별시 서대문구,11410,126.94090659999999,37.55707894
CU,CU,부산광역시 남구,26290,129.0658851,35.14650531
CU,CU,부산광역시 사하구,26380,128.9896336,35.09556471
CU,CU,서울특별시 용산구,11170,126.9765902,37.55229374
CU,CU,부산광역시 사하구,26380,128.977698,35.09073083
CU미아역점,CU,서울특별시 강북구,11305,127.0270307,37.62633526
CU,CU,서울특별시 종로구,11110,126.9804997,37.57435804
CU,CU,서울특별시 송파구,11710,127.10652720000002,37.50669183
CUSK중랑교주유소점,CU,서울특별시 중랑구,11260,127.07798159999999,37.59468533
씨유청담키네마,CU,서울특별시 강남구,11680,127.0403305,37.52401343
CU신도림포스빌점,CU,서울특별시 구로구,11530,126.89182949999999,37.50520613
CU,CU,부산광역시 부산진구,26230,129.05272390000002,35.17949414
CU,CU,서울특별시 서초구,11650,126.9968554,37.48840302
씨유논현조이,CU,서울특별시 강남구,11680,127.0323625,37.50763936
CU,CU,서울특별시 용산구,11170,126.9590731,37.53341692
CU종암오거리점,CU,서울특별시 성북구,11290,127.03102179999999,37.60250861
CU성산미래점,CU,서울특별시 마포구,11440,126.91645249999999,37.55912765
CU,CU,서울특별시 강남구,11680,127.0571135,37.52177885
씨유도곡대원,CU,서울특별시 강남구,11680,127.0447489,37.48357384
CU,CU,서울특별시 은평구,11380,126.9166507,37.60091947
